"","gene","family","variable","value"
"216","AaegOr77","OR","ma_an",2.75874195509409
"217","AaegOr78","OR","ma_an",1.99019032001485
"218","AaegOr34","OR","ma_an",0.273124286756017
"219","AaegOr37","OR","ma_an",0.255497815623035
"220","AaegIr8a","IR","ma_an",35.0083532884263
"221","AaegOr69","OR","ma_an",11.5638551281907
"222","AaegOr14","OR","ma_an",3.11929913464823
"223","AaegOr15","OR","ma_an",3.98258172598401
"224","AaegIr100c.1","IR","ma_an",0
"225","AaegIr25a","IR","ma_an",123.570771978413
"226","AaegOr87","OR","ma_an",3.99728844303949
"227","AaegOr23","OR","ma_an",8.76144615221266
"228","AaegOr88","OR","ma_an",2.76527715511381
"229","AaegOr126","OR","ma_an",1.87355695562765
"230","AaegOr63","OR","ma_an",3.85623911445271
"231","AaegOr89","OR","ma_an",0
"232","AaegOr90","OR","ma_an",0.182606013761611
"233","AaegOr42","OR","ma_an",1.0239256896717
"234","AaegOr45","OR","ma_an",5.01490674083659
"235","AaegOr113","OR","ma_an",4.26442886558239
"236","AaegOr8","OR","ma_an",0.0273203840587589
"237","Ir_RU1","IR","ma_an",2.02662943365794
"238","AaegOr7","OR","ma_an",570.960595504255
"239","AaegOr40","OR","ma_an",0.265468346547125
"240","AaegOr20","OR","ma_an",9.12130000343618
"241","AaegOr24","OR","ma_an",1.61963038567999
"242","AaegOr21","OR","ma_an",6.56386929060077
"243","AaegOr72","OR","ma_an",1.41376528400093
"244","AaegOr100","OR","ma_an",6.74494852978699
"245","AaegOr114","OR","ma_an",0.519564026661525
"246","AaegOr115","OR","ma_an",1.13043626573514
"247","AaegOr41","OR","ma_an",5.74040481628113
"248","AaegOr119","OR","ma_an",2.10442098637102
"249","AaegOr102","OR","ma_an",1.96483104709586
"250","AaegOr130","OR","ma_an",0.099487613184834
"251","AaegOr117","OR","ma_an",0.299437766569309
"252","AaegIr93a","IR","ma_an",7.27937138373797
"253","AaegOr62","OR","ma_an",0.676232294249358
"254","AaegIr7j","IR","ma_an",0.0584534650298027
"255","AaegIr7v.2","IR","ma_an",0.465020074250625
"256","AaegIr7l","IR","ma_an",0
"257","AaegIr7v.1","IR","ma_an",0.0523643989649035
"258","AaegOr97","OR","ma_an",1.08140130033809
"259","AaegIr106.1","IR","ma_an",0
"260","AaegIr7q.2","IR","ma_an",0.0634485993149052
"261","AaegIr7z.1","IR","ma_an",0.061152761302024
"262","AaegIr41a.2","IR","ma_an",9.33492163837834
"263","AaegIr41p.1","IR","ma_an",0.59764357543053
"264","AaegIr41p.2","IR","ma_an",0
"265","Ir_RU2","IR","ma_an",3.25654973580499
"266","AaegIr41o","IR","ma_an",0.159238459047745
"267","AaegIr7h.1","IR","ma_an",0
"268","AaegIr31a","IR","ma_an",1.66196624030715
"269","AaegIr75k.3","IR","ma_an",9.81019167527765
"270","AaegIr75k.1","IR","ma_an",9.28262516672567
"271","AaegIr119","IR","ma_an",0
"272","AaegOr68","OR","ma_an",0
"273","AaegOr73","OR","ma_an",0.0617992453597022
"274","AaegIr75i","IR","ma_an",4.70327381851197
"275","AaegIr120","IR","ma_an",0.0122454812324539
"276","AaegOr83","OR","ma_an",3.98444613225751
"277","AaegOr82","OR","ma_an",2.18832626920327
"278","AaegOr3","OR","ma_an",1.71286410857273
"279","AaegIr101","IR","ma_an",0
"280","AaegIr7r.1","IR","ma_an",0
"281","AaegIr7z.2","IR","ma_an",0.1212701223207
"282","AaegOr131","OR","ma_an",0.0252881943159791
"283","AaegOr71","OR","ma_an",13.7877820375929
"284","AaegOr22","OR","ma_an",2.46712665872714
"285","AaegOr44","OR","ma_an",2.39444118765955
"286","AaegOr129","OR","ma_an",0.0744189110788006
"287","AaegOr18","OR","ma_an",9.29479858836925
"288","AaegOr108","OR","ma_an",1.92603393811361
"289","AaegOr106","OR","ma_an",1.58587760486916
"290","AaegOr57","OR","ma_an",2.08791600552126
"291","AaegOr53","OR","ma_an",0.540129005566126
"292","AaegOr51","OR","ma_an",2.35538345398756
"293","AaegIr75e.3","IR","ma_an",5.88533314295455
"294","AaegIr100c.1","IR","ma_an",0
"295","AaegOr64","OR","ma_an",2.65180583223274
"296","AaegOr118","OR","ma_an",1.41795831772412
"297","AaegIr21a","IR","ma_an",0.543772685976802
"298","AaegOr116","OR","ma_an",1.21283098380098
"299","AaegIr107.1","IR","ma_an",0
"300","AaegOr120","OR","ma_an",0
"301","AaegIr100a.2","IR","ma_an",0.664169292812863
"302","AaegIr40a.2","IR","ma_an",12.7453543297048
"303","AaegOr38","OR","ma_an",5.34742512816386
"304","AaegIr40a","IR","ma_an",0.815060802902731
"305","AaegOr111","OR","ma_an",2.27909703304644
"306","AaegOr112","OR","ma_an",3.63292020219002
"307","AaegIr7h.2","IR","ma_an",0.0290169864076643
"308","AaegOr54","OR","ma_an",2.88531534392772
"309","AaegIr41d.2","IR","ma_an",0.100594308461451
"310","AaegIr75k.4","IR","ma_an",0.914319284956853
"311","AaegOr65","OR","ma_an",0.648191040136437
"312","AaegOr46","OR","ma_an",0.059361591577296
"313","AaegIr7n.1","IR","ma_an",0
"314","AaegIr7m.1","IR","ma_an",0.062988555455586
"315","AaegIr7y.1","IR","ma_an",0.0101423085737093
"316","AaegIr7k.1","IR","ma_an",0
"317","AaegIr7q.1","IR","ma_an",0.042355868723302
"318","AaegOr125","OR","ma_an",2.42455691139736
"319","AaegOr74","OR","ma_an",0.0859270789029093
"320","AaegOr58","OR","ma_an",1.95475184325375
"321","AaegIr103","IR","ma_an",0
"322","AaegIr100e.1","IR","ma_an",0
"323","AaegIr100a.1","IR","ma_an",0.105128160494626
"324","AaegOr49","OR","ma_an",0.0214917003703489
"325","AaegOr98","OR","ma_an",0.824965015693197
"326","AaegOr105","OR","ma_an",1.31030727897736
"327","AaegOr104","OR","ma_an",2.45501646736731
"328","AaegOr127","OR","ma_an",0
"329","AaegOr43","OR","ma_an",0.7780101961919
"330","AaegOr28","OR","ma_an",4.99796845570975
"331","AaegOr101","OR","ma_an",0.42720849411962
"332","AaegOr96","OR","ma_an",4.72176974288874
"333","AaegOr26","OR","ma_an",3.24182073111825
"334","AaegOr30","OR","ma_an",3.18508377415358
"335","AaegOr55","OR","ma_an",2.55965698951391
"336","AaegOr47","OR","ma_an",25.5950525995297
"337","AaegOr27","OR","ma_an",6.63550791378791
"338","AaegOr50","OR","ma_an",5.89450824007095
"339","AaegOr56","OR","ma_an",0.494139465597451
"340","AaegIr100e.2","IR","ma_an",2.26675551996563
"341","AaegIr75l","IR","ma_an",5.15666044179714
