,x,y
104,bams.Fe_FL_SF_3_SEAligned.sortedByCoord.out.bam,Fe_FL_SF_3
105,bams.Fe_HL_BF_1_SEAligned.sortedByCoord.out.bam,Fe_HL_BF_1
106,bams.Fe_HL_BF_2_SEAligned.sortedByCoord.out.bam,Fe_HL_BF_2
107,bams.Fe_HL_BF_3_SEAligned.sortedByCoord.out.bam,Fe_HL_BF_3
108,bams.Fe_HL_BF_4_SEAligned.sortedByCoord.out.bam,Fe_HL_BF_4
109,bams.Fe_HL_O_6_SEAligned.sortedByCoord.out.bam,Fe_HL_O_6
110,bams.Fe_HL_O_7_SEAligned.sortedByCoord.out.bam,Fe_HL_O_7
111,bams.Fe_HL_O_8_SEAligned.sortedByCoord.out.bam,Fe_HL_O_8
112,bams.Fe_HL_SF_1_SEAligned.sortedByCoord.out.bam,FE_HL_SF_1
113,bams.Fe_HL_SF_2_SEAligned.sortedByCoord.out.bam,FE_HL_SF_2
114,bams.Fe_HL_SF_3_SEAligned.sortedByCoord.out.bam,FE_HL_SF_3
115,bams.Fe_HL_SF_4_SEAligned.sortedByCoord.out.bam,FE_HL_SF_4
116,bams.Fe_HL_SF_5_SEAligned.sortedByCoord.out.bam,FE_HL_SF_5
117,bams.Fe_HL_SF_6_SEAligned.sortedByCoord.out.bam,FE_HL_SF_6
118,bams.Fe_ML_O_1_SEAligned.sortedByCoord.out.bam,Fe_ML_O_1
119,bams.Fe_ML_O_5_SEAligned.sortedByCoord.out.bam,Fe_ML_O_5
120,bams.Fe_ML_O_6_SEAligned.sortedByCoord.out.bam,Fe_ML_O_6
121,bams.Fe_ML_SF_1_SEAligned.sortedByCoord.out.bam,Fe_ML_SF_1
122,bams.Fe_ML_SF_2_SEAligned.sortedByCoord.out.bam,Fe_ML_SF_2
123,bams.Fe_ML_SF_3_SEAligned.sortedByCoord.out.bam,Fe_ML_SF_3
124,bams.Fe_Rs_BF_1_SEAligned.sortedByCoord.out.bam,Fe_Rs_BF_1
125,bams.Fe_Rs_BF_2_SEAligned.sortedByCoord.out.bam,Fe_Rs_BF_2
126,bams.Fe_Rs_BF_3_SEAligned.sortedByCoord.out.bam,Fe_Rs_BF_3
127,bams.Fe_Rs_SF_1_SEAligned.sortedByCoord.out.bam,Fe_Rs_SF_1
128,bams.Fe_Rs_SF_2_SEAligned.sortedByCoord.out.bam,Fe_Rs_SF_2
129,bams.Fe_Rs_SF_3_SEAligned.sortedByCoord.out.bam,Fe_Rs_SF_3
130,bams.Ma_HL_4_SEAligned.sortedByCoord.out.bam,Ma_HL_4
131,bams.Ma_HL_5_SEAligned.sortedByCoord.out.bam,Ma_HL_5
132,bams.Ma_Rs_1_merged.bam,Ma_Rs_1
133,bams.Ma_Rs_1_SE_1Aligned.sortedByCoord.out.bam,Ma_Rs_1_1
134,bams.Ma_Rs_1_SE_2Aligned.sortedByCoord.out.bam,Ma_Rs_1_2
135,bams.Ma_Rs_2_merged.bam,Ma_Rs_2
136,bams.Ma_Rs_2_SE_1Aligned.sortedByCoord.out.bam,Ma_Rs_2_1
137,bams.Ma_Rs_2_SE_2Aligned.sortedByCoord.out.bam,Ma_Rs_2_2
138,bams.Ma_Rs_3_merged.bam,Ma_Rs_3
139,bams.Ma_Rs_3_SE_1Aligned.sortedByCoord.out.bam,Ma_Rs_3_1
140,bams.Ma_Rs_3_SE_2Aligned.sortedByCoord.out.bam,Ma_Rs_3_2
